word,antonim
prefiks,sufiks
preskriptif,deskriptif
prestasi,wanprestasi
priayi,rakyat
pribadi,umum
pribumi,"keturunan, ras"
prigel,ceroboh
primer,sekunder
primitif,modern
privat,"umum, terbuka"
pro,kontra
produktif,kontraproduktif
produsen,konsumen
profesional,amatir
progresif,konservatif
protagonis,antagonis
provinsialisme,nasionalisme
provisional,kekal
puan,tuan
puas,kecewa
publik,privat
pucat,segar
pucuk,ujung
pudar,cerah
pugak,"berpangku, tangan"
puji n,mencela
pujian,celaan
pulang,pergi
punca,pangkal
puncak,"antiklimaks, terbawah"
pungkasan,wiwitan
pungut,tabur
purba,"modern, sekarang"
purbasangka,baiksangka
purna,pra
purnakaryawan,karyawan
puruk,membangkitkan
pusparagam,seragam
puspawarna,seragam
putik,buah
putra,putri
putranda,ayahanda
putri,putra
putus,"sambung, berlanjut"
racau,diam
ragam,homogen
ragu-ragu,yakin
rahmat,laknat
rajin,malas
ramai,"senyap, sepi, sunyi"
ramping,"gemuk, gendut, gemuk"
randa,duda
rangkai,"pisah, lepas"
rangkap,tunggal
rapat,renggang
rapi,berantakan
rapuh,"kokoh, kuat, teguh"
rata,bergelombang
ratu,raja
reaksi,aksi
rebah,"berdiri, tegak"
recok,sepi
reda,ribut
rekan,musuh
rekrut,memecat
rela,pamrih
remuk,utuh
rendah,tinggi
renggang,rapat
repas,"kuat, padat"
repot,"senggang, leluasa"
rewel,penurut
ribut,damai
rimbun,gundul
ringan,berat
ringkas,panjang
riuh,"sepi, sunyi"
roboh,tegak
rudin,"kaya, raya"
rujuk,cerai
rumit,"gampang, mudah"
rumpil,"mudah, gampang"
runcing,tumpul
runtuh,"kokoh, kukuh"
rusuh,aman
ruwet,"sederhana, simpel"
saban-saban,jarang-jarang
safa,cela
salah,"betul, benar"
samar,jelas
sambutan,tolakan
sangar,subur
sangsai,bahagia
sangsi,yakin
sanjungan,cacian
sarit,"senang, kaya"
saru,sopan
satu,inferior
saya,"kamu, engkau"
sayang,benci
sayup-sayup,terang
sebal,mujur
sebentar,lama
secepat-cepatnya,selambat-lambatnya
sedeng,waras
sederhana,rumit
sedih,gembira
sedikit,banyak
sedikit-dikitnya,sebanyak-banyaknya
sedikit-sedikitnya,sebanyak-banyaknya
segar,loyo
sehat,sakit
sejahtera,menderita
sejati,palsu
sejuk,hangat
sekejap,lama
sekutu,musuh
selak,menutup
selalu,"berubah, fana"
selamat,celaka
selesa,sempit
selesai,mulai
semacam,aneka
sembrono,teliti
sembuh,sakit
sembunyi-sembunyi,terang-terangan
sempit,longgar
sempurna,cacat
semrawut,rapi
semu,nyata
senang,sedih
sendat,"longgar, lancar"
sendiri,"beramai-ramai, bergantung"
sengsara,senang
senior,junior
sentosa,melarat
sentralisasi,desentralisasi
senyap,bising
separuh,"seluruh, semua, utuh"
sepuh,anom
serang,tahan
serap,menyembur
serba,sama
serbu,menahan
serbuan,penahan
seri,paralel
serial,lepas
serius,main-main
serong,tegak
sesak,lapang
sesuai,salah
setelah,sebelum
seteru,sahabat
setinggi-tingginya,serendah-rendahnya
setor,meminjam
setoran,pinjaman
sial,mujur
sibuk,"santai, sepi"
sigap,lamban
silam,kini
simpan,mengambil
simpati,antipati
simpatik,menyebalkan
singkat,panjang
singkir,"menengah, mendekati"
singset,gembrot
singular,"jamak, plural"
singularitas,pluralitas
sinonim,antonim
sintetis,asli
sinting,waras
sipil,tentara
sirna,muncul
sistematis,acak-acakan
siswa,guru
siuman,pingsan
skeptis,yakin
soak,kuat
soal,jawaban
sok,"rendah, hati"
solid,pecah
sombong,"rendah, hati"
songong,sopan
sopan santun,songong
sorong,tarik
sorongan,tarikan
sosial,"individual, pelit"
spesial,"biasa, umum"
spesifik,"biasa, umum"
spiritual,jasmaniah
sportif,curang
stabil,labil
stagnan,dinamis
stagnasi,kedinamisan
start,"akhir, akhir, finis"
statis,dinamis
steril,"berkuman, subur"
stimulus,respons
stop,berjalan
sua,berpisah
suami,istri
subjektif,objektif
subordinat,atasan
subskrip,superskrip
subur,"tandus, mandul"
suci,kotor
sudah,"belum, mulai"
sufiks,prefiks
sugih,melarat
sukacita,dukacita
sukar,mudah
sulit,mudah
sumpek,lapang
sungguh-sungguh,main-main
sunyi,ramai
supel,kaku
superioritas,inferioritas
superskrip,subskrip
suram,terang
surga,neraka
surplus,minus
susah,mudah
tajam,tumpul
takabur,"rendah, hati"
takut,berani
talak,rujuk
tamat,mulai
tampak,"gaib, tenggelam"
tampan,jelek
tangguh,"loyo, lemah"
tangis,tawa
tangkap,"membebaskan, melepaskan, melempar"
tangkas,lamban
tangkis,menyerang
tangkup,telentang
tante,om
tanwujud,wujud
tanya,jawab
tarik,tolak
taut,melepaskan
tawan,"membebaskan, melepaskan"
tebal,"halus, jarang, lemah"
tebus,menggadai
teduh,"hujan, panas, rusuh"
tegang,kendur
tegap,loyo
tegar,cengeng
tegas,kabur
teguh,goyah
tekuk,meluruskan
tekun,main-main
telah,belum
telan,memuntahkan
telangkup,telentang
telantar,terpelihara
telat,tepat
telaten,ceroboh
tele,singkat
teledor,telaten
telentang,"menelangkup, menelingkup"
teliti,ceroboh
telungkup,menelentang
teman,musuh
tempel,"lepas, mencopot"
temperamental,"tenang, kalem"
temu,pisah
tenang,"bising, pemarah, rusuh"
tenat,bugar
tengadah,menunduk
tengah,pinggir
tengkurap,telentang
tensi,relaksasi
teoretis,nyata
tepat,salah
tepi,tengah
terabaikan,teperhatikan
teragak,terlupa
teragak-agak,pasti
terang,"gelap, kelam"
terapung-apung,tenggelam
teratas,terbawah
teratur,semrawut
terbaik,terburuk
terbangun,tertidur
terbanyak,tersedikit
terbelakang,terdepan
terbelenggu,terlepas
terbenam,terbit
terberkas,terurai
terbit,tenggelam
tercampur,terpisah
tercapai,gagal
tercurah,terpendam
tercurahkan,terpendam
terdahulu,terakhir
terdepak,terpilih
terdepan,terbelakang
terdongak,tertunduk
tergabung,terpisah
terhambat,lancar
terhantar,terpelihara
terhukum,terbebas
terhunus,terhunjam
terik,"longgar, dingin"
terikat,terbebas
terkenang,terlupa
terlepas,menempel
terlupa,teringat
termasyhur,terbelakang
termulia,terhinakan
terpasung,terbebas
terpatah-patah,lancar
terputus,tersambung
tersarung,"terdedah, tertanggal"
terselak,tertutup
tersendat,lancar
tersendat-sendat,lancar
tersentralisasi,terpisah
tersingkir,terpilih
tersisih,terpilih
tersorong,tertarik
tersurat,tersirat
tertagak-tagak,tergesa-gesa
tertancap,tercabut
tertangkap,terlepas
tertangkup,bertelentang
tertata,berantakan
tertawan,terbebas
tertib,berantakan
tertinggi,terendah
teruk,ringan
teruna,dara
terus,"tunda, berhenti"
terus terang,berbohong
tewas,"hidup, cak, menang"
tiarap,telentang
tidak,ya
tidur,terjaga
tikai,damai
timbul,tenggelam
tinggi,"pendek, hina, rendah"
tipis,tebal
tiruan,asli
tirus,pepat
tolakan,dorongan
tolol,cerdik
top,terbawah
totok,peranakan
tradisi,modern
transparan,"gelap, tertutup"
transparansi,ketertutupan
trengginas,lamban
tua,"muda, baru, mentah, muda"
tuan,pembantu
tugas,pensiun
tulen,palsu
tumbang,"berdiri, tegak"
tumbuh,"mati, (tanaman)"
tumpul,tajam
tunai,cicil
tunduk,"tegak, melawan, membangkang"
tuntas,ada
turun,naik
tutup,membuka
uda,uni
udik,kota
ujang,neng
ujung,pangkal
ungkap,menutup
uniform,"berbeda, berlainan"
unik,biasa
universal,lokal
untung,rugi
uruk,gali
usah,biar
usai,berlangsung
usang,baru
usil,alim
usir,mengundang
utama,penunjang
utuh,rumpang
uzur,belia
vakum,"isi, penuh"
valid,"takvalid, ilegal"
variabilitas,homogenitas
vertikal,horizontal
visibel,tersembunyi
vulgar,sopan
wajib,sunah
wanita,pria
waras,gila
waspada,lalai
ya,"bukan, tidak"
yakin,ragu-ragu
zalim,baik
