word,antonim
edan,waras
efisien,inefisien
efisiensi,inefisiensi
egois,pluralis
ejek,memuji
ekonomis,boros
ekor,kepala
eksak,non-eksak
eksklusif,inklusif
eksplisit,implisit
ekspres,lambat
ekstensif,parsial
eksterior,interior
ekstra,intra
ekstrem,moderat
elastis,kaku
elastisitas,kekakuan
elite,proletar
elok,buruk
emak,bapak
empuk,keras
encer,"pekat, sulit, bodoh"
epilog,prolog
erat,renggang
fardu,sunah
feminin,maskulin
fenomenal,modern
fertil,infertil
fertilitas,infertilitas
finis,start
firdaus,neraka
fleksibel,kaku
fleksibilitas,kekakuan
formal,nonformal
fotokopi,asli
futur,lampau
gadis,(je)jaka
gagal,berhasil
gagap,lancar
gancang,lamban
ganda,tunggal
ganjil,genap
ganti,"tetap, tetap, pakai"
garap,membiarkan
gasal,genap
gede,kecil
gembira,sedih
gembrot,kerempeng
gendut,kurus
gesit,lamban
grup,perseorangan
gulita,benderang
gundah,riang
gundul,lebat
guru,murid
gusar,senang
gusur,membangun
habis,bersisa
hadir,absen
hak,kewajiban
halal,haram
haluan,buritan
halus,kasar
hamba,kamu
hancur,utuh
hangat,sejuk
haram,halal
harmoni,disharmoni
harmonis,disharmonis
harum,busuk
hebat,biasa
heboh,tenang
hemat,boros
hembus,isap
hening,"bising, riuh"
heterogenitas,homogenitas
hiruk,sunyi
homogen,heterogen
hulu,hilir
hunjam,menghunus
ibu,bapak
identik,berbeda
ikhwan,musuh
ilegal,legal
ilmiah,khayal
imitasi,asli
implisit,eksplisit
impor,"ekspor, mengekspor"
impresif,sederhana
impuls,penolakan
indisiplin,disiplin
inefisien,efisien
inefisiensi,efisiensi
inferior,superior
informal,formal
ingat,lupa
inklusif,eksklusif
inkompetensi,kompetensi
inkonsisten,konsisten
inkonsistensi,konsistensi
inkonvensional,konvensional
interior,eksterior
internal,eksternal
internasional,nasional
intervensi,"lepas, tangan"
intim,renggang
intrinsik,ekstrinsik
irit,boros
istimewa,biasa
istri,suami
jaga,tidur
jahat,baik
jaja,"menyimpan, menimbun"
jaka,dara
jalang,jinak
janda,duda
jasmani,rohani
jawab,tanya
jawaban,pertanyaan
jazirah,teluk
junam,menjulang
junior,senior
kabur,jelas
kalah,menang
kanak-kanak,dewasa
kanan,kiri
kasar,halus
kawan,musuh
kawin,cerai
kaya,miskin
keabadian,kefanaan
keadilan,ketakadilan
keaiban,kemuliaan
keakraban,kerenggangan
keaktifan,kepasifan
keanehan,kebiasaan
keanekaan,ketunggalan
keangkuhan,"kerendahan, hati"
kebagusan,kejelekan
kebahagiaan,kesedihan
kebebasan,kungkungan
kebencian,kesukaan
kebeningan,kekeruhan
keberadaan,ketiadaan
keberagaman,keseragaman
keberangkatan,kedatangan
keberhasilan,kegagalan
kebisingan,kesenyapan
kebisuan,kebisingan
kebodohan,kepandaian
kebohongan,kejujuran
keburukan,kebaikan
kecantikan,kejelekan
kecekatan,kelambanan
kecelakaan,keselamatan
kecendekiaan,kedunguan
keceriaan,kemuraman
kecermatan,kelalaian
kecetekan,kedalaman
kecil,besar
kecintaan,kebencian
kecongkakan,kerendahhatian
kecurangan,kejujuran
kedaifan,kemulian
kedalaman,kedangkalan
